도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),354.0,1812.0,1948.0,2004.0,2139.0,2473.0,2841.0,3007.0,3289.0,2586.0,3203.0,5.0,115.0,504.0,20200103
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),354.0,3561.0,3651.0,3356.0,3242.0,3403.0,3462.0,3550.0,3683.0,3160.0,3652.0,8.0,227.0,422.0,20200103
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),348.0,2436.0,2463.0,2464.0,2453.0,2613.0,2772.0,2859.0,2685.0,2253.0,2939.0,5.0,147.0,586.0,20200103
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),366.0,2280.0,2476.0,2492.0,2578.0,2794.0,2938.0,3064.0,3427.0,2818.0,3314.0,5.0,162.0,618.0,20200103
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),360.0,2096.0,2161.0,2198.0,2296.0,2440.0,2475.0,2539.0,2991.0,2643.0,2518.0,5.0,136.0,503.0,20200103
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),348.0,2308.0,2410.0,2402.0,2351.0,2452.0,2510.0,2498.0,2250.0,1853.0,2584.0,5.0,139.0,589.0,20200103
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),354.0,1928.0,1904.0,1865.0,1731.0,1735.0,1711.0,1693.0,1403.0,1284.0,1688.0,3.0,75.0,422.0,20200103
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),96.0,1797.0,1743.0,1883.0,1832.0,1880.0,1947.0,2077.0,2228.0,1859.0,2118.0,5.0,89.0,193.0,20200118
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),96.0,1503.0,1391.0,1492.0,1520.0,1650.0,1777.0,1750.0,1802.0,1639.0,1887.0,5.0,53.0,261.0,20200118
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),96.0,1983.0,1787.0,1967.0,2102.0,2215.0,2310.0,2295.0,2799.0,2459.0,2324.0,5.0,111.0,165.0,20200118
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),96.0,1486.0,1548.0,1724.0,1895.0,2264.0,2693.0,2843.0,3367.0,2648.0,3154.0,5.0,91.0,250.0,20200118
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),96.0,1654.0,1793.0,2030.0,2260.0,2490.0,2751.0,2840.0,3373.0,2811.0,3176.0,5.0,124.0,427.0,20200118
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),96.0,1734.0,1552.0,1693.0,1741.0,1960.0,2278.0,2298.0,2492.0,2136.0,2446.0,5.0,78.0,307.0,20200118
