주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 천안시 동남구 복자1길 24 문성어린이집,36.8141708,127.152144,POINT (335177.6646855867 4075851.0193520775),84.0,2027.0,2519.0,2565.0,2720.0,2591.0,2280.0,2395.0,2757.0,2293.0,2847.0,5.0,174.0,163.0,20220107
충청남도 천안시 서북구 음봉로 861-50,36.8286483,127.1049709,POINT (331001.40815163555 4077539.6485537067),84.0,2053.0,2060.0,2179.0,2350.0,2397.0,2397.0,2464.0,2725.0,2447.0,2476.0,5.0,137.0,72.0,20220107
충남 천안시 서북구 성성동,36.8440202,127.1265174,POINT (332956.5649321175 4079207.218588578),84.0,1672.0,1477.0,1495.0,1481.0,1550.0,1561.0,1589.0,1645.0,1496.0,1586.0,5.0,49.0,163.0,20220107
충청남도 천안시 서북구 성거읍 천흥8길 7,36.8833901,127.2075003,POINT (340259.84982354497 4083436.576622394),84.0,1770.0,1984.0,2148.0,2281.0,2138.0,2387.0,2419.0,2707.0,2412.0,2543.0,5.0,132.0,163.0,20220107
충남 천안시 동남구 천안천변길 127,36.7823546,127.1205056,POINT (332285.95916289696 4072376.1533426363),84.0,2067.0,2234.0,2180.0,2160.0,2146.0,2221.0,2130.0,3113.0,2327.0,2196.0,5.0,123.0,163.0,20220107
충남 천안시 동남구 천안천변길 127,36.7823546,127.1205056,POINT (332285.95916289696 4072376.1533426363),168.0,1158.0,1117.0,1113.0,1111.0,1103.0,1157.0,2082.0,1487.0,1199.0,7.0,111.0,208.0,,20220112
충청남도 천안시 서북구 성거읍 천흥8길 7,36.8833901,127.2075003,POINT (340259.84982354497 4083436.576622394),168.0,1053.0,1173.0,1218.0,1182.0,1267.0,1430.0,1684.0,1377.0,1697.0,5.0,126.0,208.0,,20220112
충청남도 천안시 서북구 음봉로 861-50,36.8286483,127.1049709,POINT (331001.40815163555 4077539.6485537067),168.0,1164.0,1237.0,1392.0,1453.0,1445.0,1508.0,1744.0,1562.0,1530.0,7.0,140.0,208.0,,20220112
충남 천안시 동남구 복자1길 24 문성어린이집,36.8141708,127.152144,POINT (335177.6646855867 4075851.0193520775),168.0,1151.0,1189.0,1286.0,1043.0,1209.0,1496.0,1397.0,1208.0,1229.0,5.0,127.0,208.0,,20220112
충남 천안시 서북구 성성동,36.8440202,127.1265174,POINT (332956.5649321175 4079207.218588578),168.0,325.0,384.0,411.0,515.0,601.0,649.0,1074.0,942.0,664.0,2.0,44.0,208.0,,20220112
충청남도 천안시 서북구 성거읍 천흥8길 7,36.8833901,127.2075003,POINT (340259.84982354497 4083436.576622394),90.0,1805.0,2068.0,2227.0,2280.0,2329.0,2405.0,2396.0,2786.0,2493.0,2756.0,5.0,133.0,227.0,20220117
충청남도 천안시 서북구 음봉로 861-50,36.8286483,127.1049709,POINT (331001.40815163555 4077539.6485537067),90.0,2100.0,2302.0,2380.0,2526.0,2574.0,2638.0,2589.0,2892.0,2602.0,2621.0,5.0,156.0,176.0,20220117
충남 천안시 동남구 복자1길 24 문성어린이집,36.8141708,127.152144,POINT (335177.6646855867 4075851.0193520775),90.0,2135.0,2468.0,2566.0,2563.0,2360.0,2528.0,2710.0,2787.0,2323.0,2631.0,3.0,158.0,267.0,20220117
충남 천안시 동남구 천안천변길 127,36.7823546,127.1205056,POINT (332285.95916289696 4072376.1533426363),90.0,2171.0,2153.0,2132.0,2045.0,2052.0,2064.0,2052.0,2402.0,2024.0,2019.0,10.0,109.0,267.0,20220117
충남 천안시 서북구 성성동,36.8440202,127.1265174,POINT (332956.5649321175 4079207.218588578),90.0,1784.0,1504.0,1514.0,1561.0,1737.0,1666.0,1754.0,2066.0,1988.0,1795.0,5.0,56.0,360.0,20220117
충남 천안시 동남구 복자1길 24 문성어린이집,36.8141708,127.152144,POINT (335177.6646855867 4075851.0193520775),102.0,2092.0,2341.0,2484.0,2620.0,2589.0,2772.0,2700.0,3035.0,2505.0,2922.0,5.0,166.0,462.0,20220127
충남 천안시 동남구 천안천변길 127,36.7823546,127.1205056,POINT (332285.95916289696 4072376.1533426363),102.0,2113.0,2301.0,2276.0,2246.0,2240.0,2198.0,2183.0,2994.0,2325.0,2207.0,6.0,129.0,308.0,20220127
