주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충북 청주시 흥덕구 직지대로 393(송정동),36.645119,127.4437347,POINT (360883.80798847566 4056633.267447483),84.0,2265.0,3297.0,3636.0,3948.0,3807.0,3914.0,3758.0,3879.0,3675.0,3797.0,5.0,254.0,351.0,20210117
충북 청주시 상당구 교동로139번길 20,36.6359862,127.5040362,POINT (366258.7942883392 4055534.37588047),84.0,1573.0,1844.0,1991.0,2181.0,2219.0,2440.0,2561.0,2904.0,2611.0,2635.0,5.0,120.0,199.0,20210117
"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상",36.6088273,127.5012512,POINT (365962.769409876 4052525.3266328513),84.0,1789.0,2618.0,2722.0,2849.0,2725.0,3072.0,2974.0,2878.0,2634.0,2525.0,5.0,184.0,261.0,20210117
충북 청주시 흥덕구 복대동,36.6352554,127.4386333,POINT (360409.9554348842 4055546.422020422),84.0,1646.0,1671.0,1838.0,1710.0,1807.0,1795.0,1907.0,2864.0,2455.0,2222.0,5.0,73.0,129.0,20210117
충청북도 청주시 청원구 오창읍 오창대로 197,36.7148573,127.4185301,POINT (358758.1721787642 4064406.8321068194),83.0,1141.0,1199.0,1265.0,1401.0,1517.0,1760.0,1915.0,2434.0,1993.0,2075.0,5.0,38.0,138.0,20210117
충청북도 청주시 서원구 원흥로 81,36.6133842,127.4680905,POINT (363004.9758504072 4053077.6461173724),84.0,1408.0,1759.0,1940.0,2256.0,2336.0,2537.0,2742.0,2986.0,2465.0,2903.0,5.0,129.0,138.0,20210117
충청북도 청주시 흥덕구 오송읍 오송생명로 150,36.6311519,127.3233677,POINT (350096.14946677117 4055264.996861825),84.0,1526.0,1715.0,1982.0,2428.0,2555.0,2958.0,3059.0,3964.0,3110.0,3557.0,5.0,146.0,155.0,20210117
충청북도 청주시 상당구 가덕면 보청대로 4650,36.55342,127.5487467,POINT (370117.8869453308 4046313.442768624),83.0,1626.0,2183.0,2335.0,2430.0,2440.0,2643.0,2765.0,2995.0,2633.0,2813.0,5.0,148.0,138.0,20210117
충청북도 청주시 흥덕구 봉명로 163 (봉명동),36.63989,127.4596434,POINT (362296.6933877157 4056030.2274517184),84.0,1798.0,2413.0,2579.0,2509.0,2635.0,2618.0,2602.0,2605.0,2256.0,2825.0,5.0,153.0,231.0,20210117
"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층)",36.6662401,127.4749259,POINT (363709.4584022068 4058931.6413315907),84.0,1289.0,1611.0,1617.0,1749.0,1878.0,1924.0,1972.0,2150.0,1913.0,1980.0,5.0,78.0,106.0,20210117
충북 청주시 흥덕구 복대동,36.6352554,127.4386333,POINT (360409.9554348842 4055546.422020422),102.0,2045.0,2110.0,2214.0,2061.0,2118.0,2113.0,2229.0,2745.0,2343.0,2458.0,10.0,109.0,207.0,20210127
충북 청주시 상당구 교동로139번길 20,36.6359862,127.5040362,POINT (366258.7942883392 4055534.37588047),102.0,1694.0,1986.0,2140.0,2337.0,2356.0,2640.0,2625.0,2955.0,2684.0,2817.0,5.0,134.0,288.0,20210127
"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상",36.6088273,127.5012512,POINT (365962.769409876 4052525.3266328513),102.0,2172.0,2122.0,2240.0,2271.0,1914.0,1992.0,2641.0,2392.0,2054.0,2006.0,5.0,131.0,211.0,20210127
충청북도 청주시 청원구 오창읍 오창대로 197,36.7148573,127.4185301,POINT (358758.1721787642 4064406.8321068194),101.0,2266.0,2273.0,2383.0,2469.0,2557.0,2741.0,2838.0,2922.0,2463.0,3079.0,10.0,149.0,207.0,20210127
