주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
대구광역시 달성군 화원읍 인흥1길 12,35.7974305,128.5037874,POINT (455163.2661998038 3961594.481896897),138.0,1721.0,1977.0,2119.0,2527.0,3152.0,3445.0,3385.0,3392.0,2839.0,3255.0,5.0,153.0,415.0,20230104
대구광역시 중구 남산로2길 125,35.857907,128.5894969,POINT (462935.9750291683 3968266.226959281),138.0,1906.0,2119.0,2605.0,3089.0,3420.0,3504.0,3639.0,4485.0,4363.0,3727.0,5.0,214.0,744.0,20230104
대구 중구 수창동 73 (수창초등학교)(달성로 22길 30),35.8742956,128.5841371,POINT (462459.769904963 3970085.981079297),138.0,1884.0,2232.0,2334.0,2583.0,2482.0,2501.0,2540.0,2789.0,2571.0,2507.0,5.0,161.0,462.0,20230104
대구 수성구 지산동 761-11(한국환경공단) (무학로 209),35.8304177,128.6316681,POINT (466732.121721964 3965202.1615654463),137.0,1688.0,1723.0,1865.0,1618.0,1666.0,1732.0,1836.0,2415.0,1914.0,2242.0,5.0,63.0,193.0,20230104
대구 동구 서호동 25-1(안심로49길 70),35.8673668,128.7112649,POINT (473933.4520620187 3969276.1382309427),138.0,1763.0,1970.0,1922.0,1917.0,1962.0,2045.0,2259.0,2735.0,2690.0,2419.0,5.0,93.0,433.0,20230104
대구 서구 이현동 48-60 (중리초등학교)(국채보상로 135),35.8695524,128.5453239,POINT (458953.60700658406 3969575.4951772694),138.0,1846.0,2586.0,2944.0,3036.0,3431.0,3845.0,3946.0,4034.0,3758.0,3878.0,5.0,209.0,917.0,20230104
대구 서구 평리3동,35.8759401,128.5588581,POINT (460178.6263293362 3970278.379277014),138.0,1597.0,1528.0,1578.0,1525.0,1716.0,1642.0,1651.0,2011.0,1764.0,1810.0,5.0,50.0,357.0,20230104
대구 남구 성당로30길55 성명초등학교별관3층옥상,35.8454991,128.5710679,POINT (461265.9902269554 3966897.1716099377),138.0,1622.0,1698.0,1783.0,1853.0,1918.0,1900.0,2022.0,2379.0,2186.0,2115.0,5.0,87.0,331.0,20230104
대구 북구 노원동 3가 262번지(삼영초등학교)(3공단로 14길 31),35.8935693,128.5632183,POINT (460580.9563848878 3972231.9283795715),138.0,2009.0,2630.0,2430.0,2471.0,2771.0,2677.0,2692.0,3507.0,3106.0,2804.0,5.0,154.0,594.0,20230104
대구 동구 신암동 72-1 (신암5동사무소)(아양로 37길 92),35.8897398,128.6330245,POINT (466879.3201196535 3971781.278417212),138.0,1645.0,1696.0,1731.0,1832.0,1938.0,2005.0,2016.0,2423.0,2082.0,2143.0,5.0,89.0,385.0,20230104
대구 북구 태전동 1076-5 (태암초등학교)(칠곡중앙대로 52길 56),35.9230935,128.5503619,POINT (459435.74586873857 3975511.8375287117),138.0,1689.0,2077.0,2548.0,3155.0,3279.0,3228.0,3357.0,4021.0,3696.0,3575.0,5.0,217.0,451.0,20230104
대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000),35.8654801,128.6396473,POINT (467467.1330626661 3969088.337140319),138.0,2272.0,3445.0,4104.0,4789.0,5126.0,5105.0,5109.0,5781.0,5669.0,5199.0,5.0,255.0,905.0,20230104
대구 달서구 성서공단로 11길 32 대구기계부품연구원 1동 옥상,35.8375499,128.4887422,POINT (453827.0386361483 3966051.22184831),138.0,1963.0,1793.0,1726.0,1672.0,1706.0,1761.0,1885.0,2558.0,2059.0,2025.0,5.0,66.0,313.0,20230104
대구광역시 달성군 유가읍 테크노북로6길 20,35.6953059,128.4592458,POINT (451076.0901834911 3950288.9924691888),138.0,1841.0,2300.0,2668.0,3291.0,3561.0,3893.0,3940.0,4933.0,4118.0,4326.0,5.0,233.0,514.0,20230104
대구 달서구 이곡동,35.8580846,128.5082057,POINT (455596.2986645623 3968319.780046246),138.0,1480.0,1584.0,1591.0,1574.0,1633.0,1598.0,1774.0,1887.0,1796.0,1790.0,5.0,60.0,523.0,20230104
대구광역시 수성구 노변공원로 52,35.8378885,128.6976238,POINT (472691.8453904068 3966010.351969226),138.0,1602.0,1465.0,1447.0,1447.0,1758.0,1690.0,1927.0,2026.0,1726.0,1718.0,5.0,45.0,313.0,20230104
대구광역시 달서구 월배로 131,35.8163695,128.5288744,POINT (457440.1973082122 3963683.8556107064),138.0,1826.0,2236.0,2562.0,2890.0,3185.0,3196.0,3365.0,3643.0,3637.0,3577.0,5.0,194.0,684.0,20230104
대구광역시 달성군 다사읍 매곡로12길 37,35.865035,128.4576247,POINT (451033.61594937166 3969114.8182894886),138.0,1851.0,1982.0,2143.0,2525.0,2757.0,2797.0,2970.0,3291.0,2894.0,3087.0,5.0,158.0,417.0,20230104
대구광역시 달서구 구마로26길 62,35.8344259,128.5411162,POINT (458555.4738004133 3965681.284019579),138.0,1654.0,2042.0,2067.0,2027.0,2115.0,2027.0,2184.0,2514.0,2285.0,2288.0,5.0,107.0,335.0,20230104
대구광역시 군위군 군위읍 군청로 158,36.2372849,128.5744108,POINT (461757.78661191696 4010351.29865555),137.0,1240.0,1280.0,1423.0,1491.0,1759.0,2521.0,2544.0,2424.0,1921.0,3025.0,4.0,51.0,367.0,20230104
