주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
대전 대덕구 대전로 1331번길 75(태아산업(주)),36.3723875,127.4177136,POINT (358060.3505858837 4026415.4154947386),84.0,2025.0,2027.0,1983.0,2042.0,2080.0,2061.0,2291.0,2942.0,2936.0,2469.0,5.0,101.0,152.0,20210117
대전 중구 보문로 20번길 38(문창동 주민센터),36.3172147,127.4378249,POINT (359765.6548872889 4020265.5414349195),84.0,1685.0,2267.0,1888.0,1871.0,1834.0,1854.0,2237.0,3079.0,3230.0,2689.0,5.0,88.0,116.0,20210117
대전 유성구 대학로 407 보건환경연구원,36.372381,127.3738094,POINT (354121.581955091 4026480.1124196514),84.0,1479.0,1448.0,1476.0,1348.0,1347.0,1436.0,1505.0,2103.0,1661.0,1702.0,5.0,37.0,138.0,20210117
대전 유성구 노은동로 87번길 89(노은1동 주민센터),36.3682419,127.3184975,POINT (349151.3815027663 4026105.904317957),84.0,1463.0,1506.0,1552.0,1573.0,1545.0,1571.0,1716.0,2274.0,2011.0,1909.0,5.0,58.0,107.0,20210117
대전광역시 유성구 도안대로 398,36.3359916,127.3347157,POINT (350544.795468398 4022503.0036862586),84.0,1621.0,1723.0,1785.0,1725.0,1726.0,1823.0,1773.0,2420.0,1982.0,2049.0,5.0,76.0,138.0,20210117
대전 중구 중앙로 58,36.3237798,127.4186539,POINT (358056.4779799259 4021021.7990766866),84.0,1460.0,1521.0,1606.0,1722.0,1785.0,1833.0,1983.0,2088.0,1865.0,1962.0,5.0,74.0,179.0,20210117
대전 동구 계족로 368번길 70(성남동 주민센터),36.3445324,127.4375093,POINT (359786.2950123841 4023296.4380000406),84.0,1547.0,1838.0,1852.0,1820.0,1883.0,1944.0,2025.0,2388.0,2086.0,2162.0,5.0,89.0,85.0,20210117
대전광역시 동구 동구청로 36,36.3019653,127.4602145,POINT (361748.75896906015 4018541.655186389),83.0,1489.0,1728.0,1782.0,1872.0,1881.0,1907.0,1995.0,2375.0,2175.0,2164.0,5.0,88.0,138.0,20210117
대전 서구 정림동로 10(정림동 주민센터),36.3044424,127.3667423,POINT (353360.23324329033 4018954.079316743),84.0,1611.0,1961.0,1900.0,1830.0,1870.0,1764.0,1877.0,2642.0,2397.0,2107.0,5.0,88.0,56.0,20210117
대전 서구 둔산서로 84(근로자 종합복지회관),36.3541674,127.3834649,POINT (354953.9950195676 4024445.0536038303),84.0,1514.0,1791.0,1877.0,1740.0,1848.0,2067.0,2098.0,2331.0,2076.0,2418.0,5.0,75.0,244.0,20210117
대전 서구 월평동160-5,36.3502948,127.3539196,POINT (352295.4645091712 4024060.2046624296),84.0,1663.0,1902.0,2063.0,2240.0,2306.0,2353.0,2316.0,2616.0,2405.0,2470.0,5.0,127.0,159.0,20210117
대전광역시 유성구 테크노중앙로 88,36.424847,127.3948613,POINT (356106.9871109952 4032268.8374666446),84.0,1582.0,1926.0,2189.0,2616.0,2872.0,2978.0,3171.0,3885.0,3107.0,3441.0,5.0,168.0,208.0,20210117
대전 대덕구 문평동로 18번길 34(문평동 119안전센터),36.4468829,127.4045985,POINT (357020.38607670146 4034698.920013869),84.0,1614.0,1890.0,2023.0,1941.0,2100.0,2198.0,2317.0,2873.0,2399.0,2550.0,5.0,96.0,181.0,20210117
대전 중구 중앙로 58,36.3237798,127.4186539,POINT (358056.4779799259 4021021.7990766866),102.0,1513.0,1729.0,1781.0,1843.0,1955.0,1973.0,1999.0,2158.0,1985.0,2040.0,5.0,86.0,312.0,20210127
대전 중구 보문로 20번길 38(문창동 주민센터),36.3172147,127.4378249,POINT (359765.6548872889 4020265.5414349195),102.0,1799.0,2204.0,1952.0,1972.0,1946.0,2023.0,2330.0,2875.0,3017.0,2512.0,5.0,100.0,241.0,20210127
대전 유성구 대학로 407 보건환경연구원,36.372381,127.3738094,POINT (354121.581955091 4026480.1124196514),102.0,1587.0,1584.0,1569.0,1481.0,1500.0,1574.0,1643.0,2179.0,1729.0,1900.0,5.0,51.0,207.0,20210127
대전 유성구 노은동로 87번길 89(노은1동 주민센터),36.3682419,127.3184975,POINT (349151.3815027663 4026105.904317957),102.0,1568.0,1640.0,1732.0,1724.0,1783.0,1813.0,1753.0,2307.0,2045.0,2008.0,5.0,74.0,188.0,20210127
대전광역시 유성구 도안대로 398,36.3359916,127.3347157,POINT (350544.795468398 4022503.0036862586),102.0,1460.0,1675.0,1738.0,1664.0,1683.0,1699.0,1726.0,2222.0,1800.0,1870.0,3.0,69.0,207.0,20210127
대전 동구 계족로 368번길 70(성남동 주민센터),36.3445324,127.4375093,POINT (359786.2950123841 4023296.4380000406),102.0,1641.0,1983.0,1959.0,1944.0,1998.0,2046.0,2117.0,2490.0,2128.0,2250.0,5.0,101.0,152.0,20210127
대전광역시 동구 동구청로 36,36.3019653,127.4602145,POINT (361748.75896906015 4018541.655186389),101.0,1484.0,1701.0,1759.0,1843.0,1882.0,1952.0,1908.0,2086.0,1969.0,1980.0,5.0,86.0,182.0,20210127
대전 서구 정림동로 10(정림동 주민센터),36.3044424,127.3667423,POINT (353360.23324329033 4018954.079316743),102.0,1378.0,1696.0,1660.0,1560.0,1511.0,1516.0,1619.0,1854.0,1631.0,1778.0,5.0,56.0,153.0,20210127
대전 서구 둔산서로 84(근로자 종합복지회관),36.3541674,127.3834649,POINT (354953.9950195676 4024445.0536038303),102.0,1761.0,1913.0,2004.0,1872.0,2049.0,2125.0,2240.0,2398.0,2102.0,2619.0,5.0,89.0,277.0,20210127
대전 서구 월평동160-5,36.3502948,127.3539196,POINT (352295.4645091712 4024060.2046624296),102.0,1663.0,1952.0,2097.0,2237.0,2311.0,2384.0,2350.0,2451.0,2287.0,2419.0,5.0,126.0,251.0,20210127
대전광역시 유성구 테크노중앙로 88,36.424847,127.3948613,POINT (356106.9871109952 4032268.8374666446),102.0,1992.0,2329.0,2473.0,2810.0,3011.0,3084.0,3276.0,3660.0,2920.0,3589.0,10.0,186.0,207.0,20210127
대전 대덕구 문평동로 18번길 34(문평동 119안전센터),36.4468829,127.4045985,POINT (357020.38607670146 4034698.920013869),102.0,2298.0,2483.0,2561.0,2447.0,2599.0,2662.0,2615.0,3045.0,2570.0,3009.0,10.0,148.0,207.0,20210127
대전 대덕구 대전로 1331번길 75(태아산업(주)),36.3723875,127.4177136,POINT (358060.3505858837 4026415.4154947386),102.0,2093.0,2069.0,2083.0,2126.0,2078.0,2234.0,2417.0,2896.0,2766.0,2616.0,5.0,118.0,204.0,20210127
대전 대덕구 대전로 1331번길 75(태아산업(주)),36.3723875,127.4177136,POINT (358060.3505858837 4026415.4154947386),312.0,2793.0,2899.0,2850.0,2844.0,2929.0,2939.0,3247.0,3325.0,3056.0,3362.0,8.0,188.0,204.0,20210211
