주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 당진시 송산면 유곡로 342-27,36.9764971,126.716416,POINT (296738.14303561696 4094702.252924458),150.0,1512.0,1496.0,1675.0,1769.0,1895.0,1874.0,2031.0,2042.0,2026.0,1869.0,5.0,80.0,198.0,20230102
충남 당진시 시청1로 1,36.8894492,126.6457903,POINT (290212.17405161535 4085196.7120273425),150.0,2071.0,2771.0,2761.0,2873.0,2896.0,2901.0,2909.0,2253.0,1954.0,2738.0,5.0,190.0,218.0,20230102
충청남도 당진시 신평면 매산리 976,36.9554166,126.8277843,POINT (306599.0454908133 4092131.2726029046),150.0,2272.0,2191.0,2519.0,2997.0,3268.0,3277.0,3483.0,3814.0,3042.0,3583.0,10.0,203.0,198.0,20230102
충청남도 당진시 합덕읍 합덕리 344,36.7904994,126.785855,POINT (302440.8840670023 4073918.969208185),150.0,4721.0,6319.0,6526.0,6916.0,7336.0,7271.0,6989.0,2162.0,1984.0,6877.0,11.0,255.0,368.0,20230102
충청남도 당진시 송악읍 신복운로 5,36.9443998,126.7836024,POINT (302636.37462329975 4090999.525780046),150.0,1662.0,2204.0,2365.0,2501.0,2419.0,2612.0,2920.0,2362.0,2182.0,2910.0,5.0,152.0,255.0,20230102
충청남도 당진시 송악읍 고대공단2길 79-30,36.9858631,126.7458981,POINT (299387.33231683634 4095678.9288823456),150.0,1772.0,1923.0,2106.0,2279.0,2267.0,2360.0,2341.0,2500.0,2457.0,2420.0,10.0,130.0,198.0,20230102
충청남도 당진시 송악읍 신복운로 5,36.9443998,126.7836024,POINT (302636.37462329975 4090999.525780046),252.0,9274.0,9708.0,9162.0,9048.0,9237.0,9013.0,8878.0,7385.0,6509.0,8630.0,9.0,255.0,493.0,20230107
충청남도 당진시 합덕읍 합덕리 344,36.7904994,126.785855,POINT (302440.8840670023 4073918.969208185),253.0,2702.0,2806.0,2998.0,3366.0,3658.0,3792.0,3877.0,2831.0,2313.0,3972.0,11.0,241.0,605.0,20230107
충청남도 당진시 신평면 매산리 976,36.9554166,126.8277843,POINT (306599.0454908133 4092131.2726029046),254.0,2576.0,2588.0,2520.0,2538.0,2612.0,2575.0,2633.0,2508.0,2200.0,2721.0,6.0,157.0,493.0,20230107
충남 당진시 시청1로 1,36.8894492,126.6457903,POINT (290212.17405161535 4085196.7120273425),240.0,10741.0,10002.0,8728.0,8000.0,8082.0,7692.0,7414.0,4924.0,4045.0,7019.0,9.0,255.0,493.0,20230107
