주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),60.0,1545.0,2039.0,2218.0,2087.0,2226.0,2190.0,2240.0,2727.0,2326.0,2512.0,5.0,110.0,104.0,20210102
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),60.0,1984.0,2645.0,3034.0,3761.0,3733.0,3910.0,4066.0,4110.0,3794.0,4131.0,10.0,255.0,106.0,20210102
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),138.0,1884.0,2502.0,2483.0,2362.0,2357.0,2283.0,2567.0,2952.0,2592.0,2712.0,5.0,140.0,286.0,20210104
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),138.0,2009.0,2748.0,2973.0,3353.0,3496.0,3536.0,3579.0,3604.0,3414.0,3632.0,5.0,239.0,309.0,20210104
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),102.0,1697.0,2155.0,2395.0,2196.0,2307.0,2212.0,2459.0,3021.0,2520.0,2883.0,5.0,124.0,156.0,20210109
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),102.0,1951.0,2520.0,2992.0,3628.0,3653.0,3830.0,3858.0,3929.0,3783.0,3861.0,5.0,252.0,156.0,20210109
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),114.0,2080.0,2675.0,2870.0,3200.0,3302.0,3296.0,3357.0,3452.0,3191.0,3398.0,5.0,222.0,272.0,20210114
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),114.0,2054.0,2535.0,2679.0,2603.0,2686.0,2615.0,2722.0,3110.0,2731.0,2869.0,5.0,162.0,290.0,20210114
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),108.0,1854.0,2731.0,2990.0,3433.0,3505.0,3517.0,3498.0,3603.0,3272.0,3631.0,5.0,252.0,98.0,20210117
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),96.0,1494.0,2213.0,2402.0,2260.0,2215.0,2164.0,2146.0,2725.0,2440.0,2553.0,5.0,128.0,98.0,20210117
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),90.0,1722.0,2234.0,2379.0,2248.0,2169.0,2202.0,2366.0,2766.0,2341.0,2533.0,5.0,130.0,144.0,20210127
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),90.0,1845.0,2628.0,2813.0,3230.0,3280.0,3295.0,3389.0,3368.0,3163.0,3384.0,5.0,228.0,232.0,20210127
강원특별자치도 강릉시 주문진읍 항구로 19,37.8938502,128.8233496,POINT (484468.2317797041 4194052.2915630545),96.0,1929.0,2580.0,2875.0,3459.0,3573.0,3634.0,3636.0,3876.0,3635.0,3680.0,5.0,251.0,229.0,20210203
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),96.0,1858.0,2348.0,2487.0,2335.0,2334.0,2437.0,2421.0,3234.0,2676.0,2860.0,5.0,137.0,209.0,20210203
강원특별자치도 강릉시 경강로 2179(옥천동 327-2),37.7600831,128.9030916,POINT (491464.05634436425 4179200.705766554),96.0,1922.0,2302.0,2483.0,2295.0,2386.0,2393.0,2605.0,3145.0,2634.0,2919.0,5.0,131.0,153.0,20210208
