주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
경남 거제시 남부면 저구리,34.7277195,128.6005053,POINT (463424.9985704325 3842921.5098911715),180.0,1402.0,1524.0,1634.0,1620.0,1417.0,1592.0,1460.0,1507.0,1458.0,1425.0,6.0,62.0,316.0,20200105
경남 거제시 아주동 산164-1,34.8633046,128.690556,POINT (471715.7963067135 3857927.8952538683),174.0,1619.0,1743.0,1927.0,2108.0,2360.0,2465.0,2473.0,3557.0,2788.0,3057.0,5.0,114.0,625.0,20200105
경상남도 거제시 계룡로 125,34.8805937,128.6212211,POINT (465385.5750531867 3859866.922180502),174.0,2213.0,2022.0,2188.0,2314.0,2627.0,2525.0,2861.0,2880.0,2310.0,3018.0,5.0,135.0,416.0,20200105
경상남도 거제시 계룡로 125,34.8805937,128.6212211,POINT (465385.5750531867 3859866.922180502),186.0,2169.0,2164.0,2174.0,2380.0,2678.0,2705.0,2913.0,2907.0,2362.0,3194.0,5.0,140.0,349.0,20200110
경남 거제시 아주동 산164-1,34.8633046,128.690556,POINT (471715.7963067135 3857927.8952538683),185.0,1575.0,1804.0,1879.0,2074.0,2380.0,2456.0,2427.0,3789.0,2939.0,2946.0,5.0,109.0,514.0,20200110
경남 거제시 남부면 저구리,34.7277195,128.6005053,POINT (463424.9985704325 3842921.5098911715),186.0,1507.0,1757.0,1811.0,1721.0,1509.0,1483.0,1651.0,1460.0,1395.0,1451.0,6.0,75.0,312.0,20200110
경남 거제시 남부면 저구리,34.7277195,128.6005053,POINT (463424.9985704325 3842921.5098911715),186.0,1522.0,1607.0,1630.0,1558.0,1430.0,1294.0,1453.0,1444.0,1432.0,1420.0,6.0,57.0,228.0,20200115
경남 거제시 아주동 산164-1,34.8633046,128.690556,POINT (471715.7963067135 3857927.8952538683),185.0,1671.0,1781.0,1923.0,2057.0,2389.0,2464.0,2385.0,3479.0,2697.0,2851.0,5.0,109.0,438.0,20200115
경상남도 거제시 계룡로 125,34.8805937,128.6212211,POINT (465385.5750531867 3859866.922180502),186.0,2300.0,2139.0,2233.0,2388.0,2610.0,2675.0,2997.0,3016.0,2374.0,3159.0,5.0,142.0,234.0,20200115
경남 거제시 아주동 산164-1,34.8633046,128.690556,POINT (471715.7963067135 3857927.8952538683),209.0,1745.0,1918.0,1971.0,2060.0,2357.0,2345.0,2416.0,3563.0,2884.0,2856.0,5.0,107.0,722.0,20200120
