주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
경상북도 구미시 이계북로 149,36.1059908,128.418356,POINT (447647.7690277649 3995861.078905105),186.0,2113.0,2198.0,2157.0,2054.0,2126.0,2138.0,2254.0,3175.0,2392.0,2543.0,5.0,110.0,364.0,20190105
경상북도 구미시 산동읍 첨단기업1로 17,36.142024,128.4400798,POINT (449626.11692764936 3999846.350115408),186.0,2401.0,2052.0,2058.0,2025.0,1976.0,2085.0,2061.0,1816.0,1564.0,2096.0,5.0,107.0,226.0,20190105
경북 구미시 형곡동 142(구미시립도서관),36.1136303,128.3363245,POINT (440270.0209083779 3996755.7301389044),186.0,1996.0,2246.0,2382.0,2287.0,2459.0,2470.0,2707.0,4087.0,2760.0,3135.0,5.0,133.0,468.0,20190105
경북 구미시 원평동 56-4(구미중앙로 24),36.13088,128.325864,POINT (439341.84713598574 3998675.5321479873),186.0,2191.0,2558.0,2666.0,2823.0,3139.0,3137.0,3300.0,3836.0,3677.0,3452.0,5.0,185.0,678.0,20190105
경북 구미시 공단동 256-18 (근로자종합복지회),36.105022,128.3840049,POINT (444555.2012703227 3995772.664007771),186.0,1797.0,1869.0,1821.0,1741.0,1662.0,1675.0,1672.0,1441.0,1325.0,1587.0,6.0,79.0,211.0,20190105
경상북도 구미시 이계북로 149,36.1059908,128.418356,POINT (447647.7690277649 3995861.078905105),264.0,2168.0,2309.0,2380.0,2317.0,2440.0,2337.0,2390.0,3059.0,2638.0,2603.0,5.0,133.0,431.0,20190115
경상북도 구미시 산동읍 첨단기업1로 17,36.142024,128.4400798,POINT (449626.11692764936 3999846.350115408),264.0,2492.0,2164.0,2175.0,2227.0,2251.0,2348.0,2360.0,2016.0,1731.0,2346.0,5.0,125.0,309.0,20190115
경북 구미시 형곡동 142(구미시립도서관),36.1136303,128.3363245,POINT (440270.0209083779 3996755.7301389044),264.0,2020.0,2297.0,2414.0,2315.0,2411.0,2573.0,2739.0,3717.0,2758.0,3133.0,5.0,132.0,557.0,20190115
경북 구미시 원평동 56-4(구미중앙로 24),36.13088,128.325864,POINT (439341.84713598574 3998675.5321479873),264.0,2127.0,2597.0,2774.0,2966.0,3200.0,3200.0,3306.0,4152.0,3794.0,3554.0,5.0,202.0,629.0,20190115
경북 구미시 공단동 256-18 (근로자종합복지회),36.105022,128.3840049,POINT (444555.2012703227 3995772.664007771),264.0,2019.0,2093.0,2097.0,2115.0,2098.0,2062.0,2137.0,1677.0,1496.0,2042.0,6.0,115.0,381.0,20190115
경북 구미시 공단동 256-18 (근로자종합복지회),36.105022,128.3840049,POINT (444555.2012703227 3995772.664007771),240.0,1537.0,1413.0,1498.0,1494.0,1459.0,1460.0,1430.0,1460.0,1320.0,1592.0,5.0,54.0,101.0,20190120
경상북도 구미시 이계북로 149,36.1059908,128.418356,POINT (447647.7690277649 3995861.078905105),240.0,1909.0,1972.0,2079.0,2072.0,1977.0,2119.0,2128.0,3047.0,2439.0,2437.0,5.0,107.0,306.0,20190120
경상북도 구미시 산동읍 첨단기업1로 17,36.142024,128.4400798,POINT (449626.11692764936 3999846.350115408),240.0,1805.0,947.0,1093.0,1159.0,1218.0,1193.0,1258.0,1671.0,1531.0,1257.0,5.0,15.0,125.0,20190120
경북 구미시 형곡동 142(구미시립도서관),36.1136303,128.3363245,POINT (440270.0209083779 3996755.7301389044),240.0,1661.0,1984.0,2316.0,2201.0,2322.0,2477.0,2662.0,3836.0,2808.0,3468.0,5.0,121.0,519.0,20190120
