주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),89.0,2082.0,2697.0,2831.0,2929.0,2958.0,3125.0,2994.0,2870.0,2739.0,3126.0,5.0,197.0,364.0,20210117
광주광역시 광산구 우산동 1026-2,35.1577625,126.8100651,POINT (300532.626457934 3892734.2350041606),90.0,1893.0,1802.0,1976.0,2068.0,2320.0,2761.0,3001.0,2779.0,2344.0,3109.0,5.0,108.0,350.0,20210117
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),90.0,1974.0,2094.0,1950.0,1956.0,2052.0,1941.0,2225.0,3275.0,2812.0,2517.0,5.0,99.0,293.0,20210117
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20210117
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20210117
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),90.0,1021.0,1183.0,1290.0,1110.0,1081.0,1037.0,1049.0,1060.0,1057.0,1046.0,6.0,11.0,155.0,20210117
광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상),35.229323,126.8618795,POINT (305423.6307351225 3900569.4388093716),90.0,1743.0,1756.0,1947.0,2209.0,2429.0,2518.0,2735.0,3623.0,3076.0,3015.0,5.0,124.0,340.0,20210117
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),90.0,2491.0,2171.0,2317.0,2451.0,2349.0,2614.0,2504.0,2691.0,2581.0,2502.0,5.0,147.0,218.0,20210117
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),90.0,2382.0,2435.0,2426.0,2356.0,2386.0,2509.0,2532.0,2662.0,2339.0,2691.0,8.0,137.0,155.0,20210117
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20210117
광주 서구 상무자유로 170,35.1512744,126.8527189,POINT (304402.77874101966 3891929.8107322683),90.0,1652.0,1599.0,1586.0,1526.0,1676.0,1619.0,1753.0,1782.0,1734.0,1425.0,5.0,53.0,155.0,20210117
광주 서구 상무대로 1165 (광주시립미술관 상록전시관 단독건물),35.1550857,126.8885084,POINT (307672.3476625132 3892282.777749469),90.0,1459.0,1464.0,1578.0,1640.0,1772.0,2213.0,2590.0,2574.0,2041.0,2719.0,5.0,67.0,155.0,20210117
광주 동구 서남로 1,35.1458908,126.9230497,POINT (310797.75865170476 3891196.5905304034),90.0,1772.0,1911.0,1991.0,2042.0,2072.0,2109.0,2101.0,2351.0,2109.0,2119.0,5.0,107.0,266.0,20210117
광주 북구 북문대로 79,35.1767683,126.8772214,POINT (306695.44474952196 3894709.8088276684),90.0,1478.0,1318.0,1290.0,1281.0,1297.0,1326.0,1360.0,1585.0,1373.0,1424.0,5.0,30.0,155.0,20210117
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),90.0,1066.0,1204.0,1236.0,1111.0,1100.0,1084.0,1089.0,1070.0,1055.0,1086.0,6.0,13.0,200.0,20210127
광주 서구 상무자유로 170,35.1512744,126.8527189,POINT (304402.77874101966 3891929.8107322683),90.0,1585.0,1570.0,1529.0,1539.0,1580.0,1635.0,1620.0,1729.0,1849.0,1520.0,5.0,55.0,200.0,20210127
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20210127
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),90.0,1764.0,2255.0,2320.0,2375.0,2478.0,2289.0,2277.0,2519.0,2213.0,2532.0,5.0,140.0,165.0,20210127
광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상),35.229323,126.8618795,POINT (305423.6307351225 3900569.4388093716),90.0,1677.0,1628.0,1832.0,2100.0,2268.0,2396.0,2503.0,3317.0,2708.0,2796.0,5.0,111.0,245.0,20210127
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),90.0,2519.0,2485.0,2751.0,2958.0,2848.0,2885.0,2959.0,3097.0,2872.0,2949.0,5.0,200.0,175.0,20210127
광주 북구 북문대로 79,35.1767683,126.8772214,POINT (306695.44474952196 3894709.8088276684),90.0,1374.0,1212.0,1223.0,1243.0,1281.0,1295.0,1349.0,1606.0,1419.0,1357.0,5.0,28.0,200.0,20210127
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20210127
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),90.0,1875.0,1965.0,1955.0,2008.0,1998.0,2022.0,2563.0,3033.0,2711.0,2953.0,5.0,102.0,257.0,20210127
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),89.0,2106.0,2837.0,2969.0,3073.0,2964.0,3070.0,3189.0,2920.0,2640.0,3016.0,5.0,212.0,378.0,20210127
광주광역시 광산구 우산동 1026-2,35.1577625,126.8100651,POINT (300532.626457934 3892734.2350041606),90.0,1827.0,1712.0,1884.0,2027.0,2323.0,2764.0,2978.0,2666.0,2175.0,3082.0,5.0,105.0,317.0,20210127
