주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
인천 중구 서해대로 471(신흥동 2가),37.4662512,126.6338835,POINT (290749.0877999738 4149226.2591608195),66.0,1676.0,1633.0,1606.0,1601.0,1651.0,1673.0,1613.0,1748.0,1585.0,1811.0,5.0,61.0,162.0,20230102
인천 옹진군 백령면 연화리,37.9484951,124.6376388,POINT (116637.66880993702 4209084.994265814),60.0,1579.0,1639.0,1795.0,1565.0,1444.0,1184.0,1176.0,1019.0,1027.0,1103.0,6.0,58.0,162.0,20230102
인천광역시 옹진군 영흥면 영흥로251번길 90,37.2559865,126.4837862,POINT (276850.62637466064 4126237.8003140516),60.0,1679.0,1837.0,1992.0,2185.0,2366.0,2715.0,2792.0,2787.0,2378.0,2783.0,5.0,121.0,195.0,20230102
인천광역시 중구 서해대로 365-1,37.4599908,126.6297202,POINT (290363.3547443239 4148540.8260844573),66.0,2107.0,2307.0,2356.0,2446.0,2427.0,2819.0,2671.0,3136.0,2564.0,3185.0,5.0,148.0,199.0,20230102
인천광역시 중구 하늘중앙로 132,37.4950052,126.5607939,POINT (284367.00274456077 4152582.054428128),66.0,1412.0,1459.0,1502.0,1425.0,1683.0,2445.0,2633.0,1590.0,1361.0,2657.0,5.0,44.0,183.0,20230102
인천광역시 남동구 남동대로 668,37.4419936,126.7073869,POINT (297184.85656165413 4146373.643580235),66.0,2333.0,3415.0,3525.0,3500.0,3671.0,3780.0,3405.0,2607.0,2410.0,3650.0,5.0,255.0,265.0,20230102
인천광역시 미추홀구 구월남로 27,37.4552723,126.6937559,POINT (296014.9073930122 4147876.5604267255),66.0,1510.0,1497.0,1672.0,1781.0,2039.0,2458.0,2736.0,2530.0,2109.0,2737.0,5.0,80.0,139.0,20230102
인천광역시 서구 중봉대로 274,37.5035894,126.6489955,POINT (292189.2558350662 4153336.0707020573),66.0,1766.0,2161.0,2157.0,2191.0,2392.0,2347.0,2746.0,3405.0,3115.0,2876.0,5.0,121.0,235.0,20230102
인천광역시 남동구 서창남로 101,37.4274542,126.7459827,POINT (300561.0863731684 4144677.877577401),66.0,2195.0,2269.0,2410.0,2672.0,3155.0,3363.0,3282.0,3114.0,2577.0,3574.0,5.0,168.0,173.0,20230102
인천 옹진군 덕적면 진리,37.2288953,126.1397078,POINT (246238.85493810964 4124098.899863111),54.0,1806.0,1506.0,1549.0,1457.0,1576.0,2062.0,2415.0,1804.0,1519.0,2515.0,5.0,47.0,162.0,20230102
인천광역시 연수구 센트럴로 350,37.4063111,126.6352338,POINT (290701.5507539506 4142571.925351378),66.0,2301.0,4048.0,4327.0,4858.0,4444.0,4765.0,4664.0,3845.0,3083.0,5103.0,5.0,254.0,224.0,20230102
인천 중구 항동7가 1-48,37.462381,126.6232851,POINT (289800.8199484823 4148820.409478512),66.0,1343.0,1415.0,1431.0,1192.0,1136.0,1098.0,1067.0,1088.0,1077.0,1092.0,6.0,20.0,162.0,20230102
인천 옹진군 연평면 연평리 631,37.6661767,125.7023834,POINT (209129.57154348277 4173895.719628725),54.0,1983.0,2469.0,2622.0,2676.0,2587.0,2610.0,2724.0,3059.0,2700.0,2830.0,5.0,171.0,79.0,20230102
인천 옹진군 덕적면 울도리 85번지,37.025088,125.9958066,POINT (232752.5862771126 4101876.63504341),60.0,1412.0,1836.0,2062.0,2236.0,2463.0,3150.0,3311.0,2731.0,2120.0,3788.0,5.0,125.0,246.0,20230102
인천광역시 계양구 봉오대로600번길 14,37.5290575,126.7151646,POINT (298107.585802089 4156018.0079645114),66.0,1754.0,2163.0,2329.0,2441.0,2519.0,2597.0,2588.0,2657.0,2369.0,2676.0,5.0,146.0,278.0,20230102
인천광역시 연수구 인천신항대로 866-9,37.3540019,126.627735,POINT (289891.76582510886 4136784.0816444745),66.0,2356.0,2854.0,3051.0,3134.0,3168.0,2839.0,3212.0,3371.0,3097.0,3211.0,6.0,218.0,162.0,20230102
인천광역시 서구 원석로 41 (석남동),37.5001301,126.6401558,POINT (291398.1484609338 4152971.7717442918),66.0,1974.0,1962.0,2130.0,2378.0,2430.0,2455.0,2553.0,2888.0,2669.0,2625.0,10.0,141.0,162.0,20230102
인천광역시 중구 축항대로118번길 147,37.4434015,126.5983328,POINT (287539.9582342448 4146770.317275809),66.0,1556.0,1444.0,1513.0,1625.0,1686.0,1657.0,1741.0,2244.0,1994.0,1861.0,5.0,64.0,213.0,20230102
인천광역시 계양구 경명대로 1179 (병방동),37.5432967,126.7377312,POINT (300139.9147063313 4157549.8401594856),66.0,1556.0,1512.0,1657.0,1745.0,1975.0,2383.0,2370.0,2264.0,1948.0,2603.0,5.0,76.0,309.0,20230102
인천 서구 오류동 경인항,37.5584727,126.6060332,POINT (288546.25815093145 4159522.1871398496),66.0,2000.0,1695.0,1738.0,1658.0,1798.0,1885.0,1768.0,1414.0,1347.0,1778.0,10.0,67.0,162.0,20230102
