주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),150.0,1723.0,2003.0,2145.0,2274.0,2668.0,2653.0,2626.0,2608.0,2354.0,2540.0,5.0,131.0,518.0,20190103
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),150.0,1594.0,1908.0,2108.0,2278.0,2530.0,2496.0,2665.0,2949.0,2637.0,2794.0,5.0,129.0,598.0,20190103
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),324.0,1888.0,2380.0,2404.0,2479.0,2571.0,2752.0,2885.0,3189.0,2921.0,2974.0,5.0,151.0,636.0,20190108
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),324.0,2028.0,2662.0,2765.0,2877.0,2693.0,2999.0,3111.0,3006.0,2775.0,2888.0,5.0,192.0,642.0,20190108
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),198.0,1779.0,2128.0,2179.0,2283.0,2313.0,2471.0,2544.0,2943.0,2631.0,2662.0,5.0,132.0,531.0,20190113
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),198.0,2034.0,2432.0,2561.0,2660.0,2779.0,2672.0,2707.0,2796.0,2455.0,2711.0,5.0,168.0,446.0,20190113
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),210.0,1937.0,2183.0,2346.0,2425.0,2730.0,2528.0,2499.0,2659.0,2381.0,2556.0,5.0,144.0,426.0,20190123
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),210.0,1930.0,2159.0,2269.0,2376.0,2537.0,2590.0,2691.0,2998.0,2760.0,2809.0,5.0,139.0,493.0,20190123
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),138.0,1988.0,2315.0,2467.0,2586.0,2695.0,2686.0,2639.0,2649.0,2442.0,2905.0,5.0,161.0,401.0,20190202
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),138.0,1887.0,2091.0,2167.0,2282.0,2498.0,2528.0,2738.0,2966.0,2730.0,2769.0,5.0,131.0,400.0,20190202
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),174.0,2098.0,2282.0,2470.0,2527.0,2721.0,2665.0,2544.0,2796.0,2570.0,2876.0,5.0,155.0,434.0,20190212
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),174.0,2005.0,2188.0,2292.0,2445.0,2657.0,2720.0,2739.0,3066.0,2839.0,2888.0,5.0,148.0,431.0,20190212
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),108.0,1863.0,2279.0,2377.0,2489.0,2705.0,2836.0,2834.0,3233.0,3016.0,2923.0,5.0,153.0,432.0,20190217
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),108.0,1975.0,2473.0,2579.0,2723.0,2779.0,2775.0,2717.0,2923.0,2764.0,2885.0,5.0,177.0,434.0,20190217
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),324.0,2713.0,2808.0,2905.0,2920.0,3037.0,2924.0,3115.0,3142.0,2863.0,3193.0,5.0,195.0,987.0,20190304
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),324.0,2614.0,2601.0,2698.0,2720.0,2903.0,2888.0,2959.0,3263.0,2985.0,3057.0,5.0,175.0,945.0,20190304
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),270.0,1954.0,2132.0,2289.0,2455.0,2604.0,2760.0,2865.0,3176.0,2935.0,2857.0,5.0,148.0,532.0,20190314
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),270.0,2044.0,2409.0,2650.0,2795.0,2864.0,2997.0,2947.0,3202.0,2883.0,3052.0,5.0,181.0,479.0,20190314
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),438.0,2161.0,2505.0,2633.0,2750.0,2838.0,2871.0,2997.0,3143.0,3101.0,2877.0,5.0,177.0,984.0,20190319
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),438.0,2162.0,2384.0,2496.0,2574.0,2827.0,2890.0,2958.0,3343.0,3111.0,3008.0,5.0,160.0,1013.0,20190319
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),150.0,2225.0,2510.0,2711.0,2723.0,2826.0,3191.0,2921.0,3195.0,2895.0,3235.0,8.0,175.0,308.0,20190324
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),150.0,2114.0,2322.0,2505.0,2657.0,2863.0,3001.0,3060.0,3217.0,2933.0,3134.0,10.0,169.0,308.0,20190324
전남 목포시 동부로 31번길 20(용당1동 주민센터 옥상),34.8058866,126.3917259,POINT (261401.02330590712 3854618.1679930766),372.0,2033.0,2545.0,2754.0,2898.0,3011.0,2944.0,2985.0,3223.0,2974.0,3129.0,5.0,193.0,748.0,20190329
전남 목포시 삼향천로 28(옥암동),34.8042246,126.4345526,POINT (265314.92401776323 3854332.7432285873),372.0,1963.0,2270.0,2475.0,2597.0,2839.0,2895.0,3014.0,3338.0,3142.0,3113.0,5.0,163.0,864.0,20190329
