주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
경상북도 포항시 북구 천마로 161 (양덕동),36.0901685,129.3961353,POINT (535662.1334072701 3994022.1539850268),120.0,1471.0,1305.0,1438.0,1322.0,1425.0,1273.0,1149.0,1657.0,1454.0,1274.0,5.0,32.0,309.0,20230104
경상북도 포항시 남구 연일읍 동문로 67,35.9962626,129.3521476,POINT (531739.7857291313 3983591.2481430066),120.0,1604.0,1530.0,1554.0,1496.0,1640.0,1606.0,1727.0,2247.0,1909.0,1925.0,5.0,49.0,374.0,20230104
경상북도 포항시 북구 새천년대로 906,36.0528499,129.3611936,POINT (532531.852858228 3989870.6545027765),120.0,1709.0,2355.0,2169.0,2248.0,2170.0,2148.0,2090.0,2532.0,2802.0,1998.0,6.0,127.0,309.0,20230104
경북 포항시 남구 신항로 99-98,36.0057836,129.4150523,POINT (537405.0473262356 3984669.5854023853),120.0,1588.0,1634.0,1746.0,1887.0,2056.0,2102.0,2204.0,2224.0,2110.0,2255.0,6.0,92.0,309.0,20230104
경북 포항시 남구 신항로 10,35.9973608,129.4054955,POINT (536547.6581419383 3983731.7406240255),120.0,1611.0,2011.0,2117.0,2329.0,2383.0,2525.0,2521.0,2899.0,2549.0,2759.0,5.0,135.0,520.0,20230104
경북 포항시 남구 오천읍 냉천로320번길 4-11,35.9667609,129.4085933,POINT (536841.0876080511 3980338.9134962726),120.0,1863.0,2545.0,2782.0,2980.0,2675.0,3023.0,3116.0,2916.0,2776.0,3016.0,5.0,201.0,436.0,20230104
경북 포항시 남구 축항로 55,36.0300388,129.3749055,POINT (533776.5974658886 3987345.2047789064),120.0,1910.0,2457.0,2779.0,2972.0,3230.0,3370.0,3521.0,4538.0,3748.0,3958.0,5.0,201.0,733.0,20230104
경북 포항시 남구 대송면 철강산단로130번길 29,35.9630609,129.3767843,POINT (533974.5793706172 3979916.983939959),120.0,1136.0,1577.0,1764.0,2106.0,2345.0,2619.0,2717.0,3099.0,2414.0,3032.0,5.0,114.0,339.0,20230104
경북 포항시 남구 대송면 장동홍계길19 (대송면사무소 내),35.9685219,129.3599537,POINT (532454.7256224204 3980516.9588439297),120.0,1911.0,2185.0,2598.0,2530.0,2642.0,2730.0,2818.0,3830.0,3169.0,3254.0,5.0,155.0,398.0,20230104
경북 포항시 남구 대도동 111-6(상대동평생학습관),36.018833,129.3658667,POINT (532966.9235171243 3986099.208264802),120.0,1854.0,2100.0,2162.0,2085.0,2064.0,1938.0,2178.0,2397.0,2212.0,2288.0,5.0,110.0,309.0,20230104
경북 포항시 북구 삼흥로 98 북구보건소,36.070704,129.380477,POINT (534260.9295723237 3991857.5850329907),120.0,1473.0,1894.0,2053.0,1766.0,1833.0,1836.0,1911.0,2457.0,2067.0,2175.0,5.0,78.0,604.0,20230104
경북 포항시 남구 철강로 331 공단정수장,35.9802561,129.3747678,POINT (533785.423412838 3981823.486360734),120.0,1397.0,1812.0,2012.0,2364.0,2589.0,2771.0,2774.0,3187.0,2908.0,2897.0,5.0,141.0,280.0,20230104
경상북도 포항시 남구 인덕로 52,35.9899753,129.3976328,POINT (535842.3237538716 3982909.656133849),120.0,1776.0,2256.0,2300.0,2373.0,2511.0,2599.0,2624.0,3084.0,3023.0,2680.0,5.0,139.0,535.0,20230104
경북 포항시 남구 철강로 331 공단정수장,35.9802561,129.3747678,POINT (533785.423412838 3981823.486360734),114.0,1419.0,1729.0,1962.0,2277.0,2369.0,2632.0,2804.0,3218.0,2720.0,2910.0,5.0,130.0,187.0,20230119
경북 포항시 북구 삼흥로 98 북구보건소,36.070704,129.380477,POINT (534260.9295723237 3991857.5850329907),114.0,1430.0,1783.0,1998.0,1742.0,1818.0,1939.0,1930.0,2204.0,1824.0,2154.0,5.0,75.0,405.0,20230119
경상북도 포항시 남구 인덕로 52,35.9899753,129.3976328,POINT (535842.3237538716 3982909.656133849),114.0,1758.0,2003.0,2149.0,2387.0,2372.0,2553.0,2555.0,2672.0,2469.0,2646.0,5.0,140.0,281.0,20230119
경상북도 포항시 남구 연일읍 동문로 67,35.9962626,129.3521476,POINT (531739.7857291313 3983591.2481430066),114.0,1524.0,1863.0,2123.0,1759.0,1713.0,1850.0,1890.0,2854.0,2174.0,2522.0,5.0,79.0,236.0,20230119
경상북도 포항시 북구 새천년대로 906,36.0528499,129.3611936,POINT (532531.852858228 3989870.6545027765),114.0,1678.0,2903.0,2906.0,2830.0,2627.0,2613.0,2649.0,2813.0,2842.0,2536.0,5.0,185.0,220.0,20230119
경북 포항시 남구 신항로 99-98,36.0057836,129.4150523,POINT (537405.0473262356 3984669.5854023853),114.0,1568.0,1565.0,1804.0,1925.0,1995.0,2093.0,2305.0,2015.0,1883.0,2168.0,6.0,94.0,211.0,20230119
경북 포항시 남구 신항로 10,35.9973608,129.4054955,POINT (536547.6581419383 3983731.7406240255),114.0,1634.0,1720.0,1952.0,2124.0,2272.0,2433.0,2479.0,2799.0,2458.0,2734.0,5.0,115.0,304.0,20230119
경북 포항시 남구 대도동 111-6(상대동평생학습관),36.018833,129.3658667,POINT (532966.9235171243 3986099.208264802),114.0,1845.0,1954.0,2098.0,2007.0,1950.0,1886.0,2095.0,2359.0,2233.0,2258.0,5.0,103.0,246.0,20230119
