주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
부산 중구 광복로 55번길 10,35.1000045,129.0304011,POINT (502770.7713230667 3884133.6976385918),324.0,2247.0,2555.0,2773.0,2495.0,2440.0,2422.0,2516.0,3339.0,2653.0,2862.0,5.0,152.0,524.0,20190115
부산광역시 동구 충장대로 314,35.1227863,129.0568997,POINT (505184.4239748895 3886661.217524739),324.0,2207.0,2308.0,2301.0,2384.0,2453.0,2427.0,2514.0,2431.0,2017.0,2517.0,5.0,141.0,516.0,20190115
부산광역시 강서구 신항남로 416,35.073104,128.833501,POINT (484820.2084407838 3881162.7429457037),324.0,2033.0,2227.0,2269.0,2558.0,2601.0,2590.0,2599.0,2580.0,2412.0,2582.0,6.0,160.0,475.0,20190115
부산광역시 사상구 모덕로 2,35.1824537,128.976956,POINT (497901.8751577844 3893277.034230654),324.0,1982.0,2189.0,2313.0,2378.0,2412.0,2692.0,2889.0,3001.0,2430.0,2903.0,5.0,140.0,502.0,20190115
부산광역시 강서구 신항남로 354,35.0802557,128.8268542,POINT (484215.5933075956 3881956.882671523),324.0,1990.0,2299.0,2453.0,2577.0,2614.0,2595.0,2639.0,2587.0,2440.0,2551.0,6.0,161.0,475.0,20190115
부산광역시 강서구 명지동 3513-3,35.1055728,128.9258618,POINT (493243.46664931293 3884753.302629964),324.0,2166.0,2354.0,2495.0,2767.0,2902.0,3042.0,3160.0,3497.0,2966.0,3305.0,5.0,180.0,601.0,20190115
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178,POINT (500811.45200485893 3898865.943786873),324.0,1845.0,2730.0,2692.0,2738.0,2638.0,2612.0,2731.0,2734.0,2577.0,2727.0,5.0,177.0,414.0,20190115
부산광역시 영도구 청학남로13번길 18,35.0907485,129.0594904,POINT (505422.59755395236 3883108.421935978),320.0,1912.0,2372.0,2513.0,2699.0,2689.0,2705.0,2812.0,3605.0,3090.0,3117.0,5.0,173.0,546.0,20190115
부산 강서구 신항남로 416,35.073104,128.833501,POINT (484820.2084407838 3881162.7429457037),324.0,2033.0,2227.0,2269.0,2558.0,2601.0,2590.0,2599.0,2580.0,2412.0,2582.0,6.0,160.0,475.0,20190115
부산 동구 충장대로 314,35.1227863,129.0568997,POINT (505184.4239748895 3886661.217524739),324.0,2207.0,2308.0,2301.0,2384.0,2453.0,2427.0,2514.0,2431.0,2017.0,2517.0,5.0,141.0,516.0,20190115
부산 사하구 제석로 41,35.1053948,128.9729515,POINT (497534.9485885469 3884731.3834937653),324.0,1835.0,1962.0,2201.0,2010.0,2073.0,2060.0,2204.0,2935.0,2462.0,2705.0,5.0,103.0,517.0,20190115
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),324.0,1611.0,1796.0,1851.0,1915.0,2082.0,2154.0,2138.0,2381.0,2148.0,2272.0,5.0,94.0,538.0,20190115
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),324.0,2048.0,2438.0,2479.0,2507.0,2568.0,2656.0,2768.0,3157.0,2794.0,2860.0,5.0,154.0,559.0,20190115
부산 서구 대신로 150,35.1173408,129.0157521,POINT (501435.3501931599 3886055.952733018),324.0,1973.0,2552.0,2528.0,2609.0,2626.0,2643.0,2746.0,3276.0,2625.0,3064.0,5.0,164.0,483.0,20190115
부산 금정구 부곡로156번길 7,35.2298287,129.0927353,POINT (508438.52154108864 3898534.6168875108),324.0,1730.0,1878.0,2035.0,1876.0,2002.0,2034.0,2126.0,2380.0,1949.0,2345.0,5.0,88.0,402.0,20190115
부산 동구 구청로 1,35.1292457,129.0454233,POINT (504138.42337155837 3887377.0182176623),324.0,2177.0,2633.0,2749.0,2889.0,2977.0,2962.0,3053.0,3471.0,3240.0,3080.0,5.0,192.0,675.0,20190115
부산 연제구 중앙대로 1001,35.1800626,129.0745963,POINT (506792.0911102238 3893014.1667127283),324.0,1939.0,2086.0,2193.0,2192.0,2298.0,2460.0,2492.0,2327.0,2015.0,2489.0,5.0,123.0,575.0,20190115
부산 강서구 녹산산단 382로 49번길 39,35.0866341,128.8638983,POINT (487593.5948835844 3882658.995610644),324.0,2178.0,2402.0,2483.0,2544.0,2652.0,2684.0,2726.0,3026.0,2723.0,2778.0,5.0,158.0,504.0,20190115
부산광역시 강서구 체육공원로 43,35.209732,128.9738117,POINT (497616.38787982654 3896302.263003819),324.0,1893.0,2137.0,2228.0,2351.0,2526.0,2601.0,2684.0,2874.0,2677.0,2833.0,5.0,138.0,514.0,20190115
부산 사하구 장림로 161번길 2,35.083007,128.9669024,POINT (496982.8423385933 3882248.7892210693),324.0,1891.0,2241.0,2370.0,2474.0,2516.0,2572.0,2647.0,2747.0,2457.0,2702.0,5.0,148.0,547.0,20190115
부산 금정구 청룡로 25,35.2752872,129.089844,POINT (508170.8625717864 3903575.7624749863),324.0,14312.0,13525.0,11995.0,11229.0,11173.0,10838.0,10583.0,7787.0,7160.0,10166.0,9.0,255.0,475.0,20190115
부산 북구 덕천2길 10,35.20825,129.0066182,POINT (500602.3876390696 3896137.6151377317),324.0,1941.0,2078.0,2274.0,2138.0,2182.0,2180.0,2310.0,3139.0,2520.0,2599.0,5.0,115.0,401.0,20190115
부산 사상구 대동로 205,35.1458843,128.9836841,POINT (498513.79439757223 3889221.395502485),324.0,2220.0,2591.0,2800.0,3083.0,3224.0,3286.0,3430.0,3955.0,3750.0,3442.0,5.0,212.0,723.0,20190115
부산 남구 수영로 196번길 80,35.1303143,129.0874926,POINT (507971.16734585183 3887498.082675121),324.0,1800.0,2054.0,2143.0,2160.0,2243.0,2228.0,2321.0,2753.0,2543.0,2527.0,5.0,119.0,404.0,20190115
부산 동래구 명장로 32,35.2047638,129.1042668,POINT (509490.75695474923 3895755.9540068014),324.0,2461.0,2829.0,2809.0,2762.0,2735.0,2685.0,2802.0,2506.0,2071.0,2843.0,5.0,180.0,475.0,20190115
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),324.0,1894.0,2377.0,2530.0,2629.0,2751.0,2855.0,3074.0,3609.0,3169.0,3447.0,5.0,166.0,602.0,20190115
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),324.0,2323.0,2793.0,3098.0,3417.0,3666.0,3661.0,3724.0,4527.0,4439.0,3811.0,5.0,245.0,799.0,20190115
부산 영도구 전망로 24,35.0596604,129.0798817,POINT (507284.0433612867 3879662.1254457436),324.0,1436.0,1756.0,1932.0,1894.0,2071.0,2626.0,2786.0,2074.0,1785.0,2874.0,5.0,91.0,495.0,20190115
부산광역시 남구 북항로 105,35.1059456,129.0825838,POINT (507526.1831425829 3884795.2508410634),324.0,1826.0,2053.0,2059.0,2200.0,2299.0,2225.0,2305.0,2223.0,2062.0,2324.0,5.0,122.0,547.0,20190115
부산 동구 중앙대로349번길 14,35.1269851,129.0462454,POINT (504213.43964748835 3887126.3554161005),324.0,2091.0,2359.0,2396.0,2438.0,2407.0,2459.0,2478.0,2657.0,2322.0,2586.0,5.0,147.0,584.0,20190115
부산 중구 광복로 55번길 10,35.1000045,129.0304011,POINT (502770.7713230667 3884133.6976385918),300.0,1872.0,2047.0,2367.0,2057.0,2100.0,2148.0,2227.0,3153.0,2483.0,2725.0,5.0,108.0,501.0,20190120
부산 서구 대신로 150,35.1173408,129.0157521,POINT (501435.3501931599 3886055.952733018),300.0,2086.0,2669.0,2565.0,2659.0,2706.0,2686.0,2865.0,3307.0,2499.0,3357.0,5.0,169.0,506.0,20190120
부산 영도구 전망로 24,35.0596604,129.0798817,POINT (507284.0433612867 3879662.1254457436),300.0,1131.0,1457.0,1631.0,1645.0,1935.0,2506.0,2636.0,2056.0,1679.0,2767.0,5.0,66.0,488.0,20190120
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),300.0,1615.0,2357.0,2943.0,3621.0,4069.0,4126.0,4146.0,4945.0,4558.0,4241.0,5.0,255.0,1140.0,20190120
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),300.0,1637.0,2141.0,2349.0,2440.0,2491.0,2717.0,3132.0,3885.0,3299.0,3532.0,5.0,147.0,675.0,20190120
부산 동래구 명장로 32,35.2047638,129.1042668,POINT (509490.75695474923 3895755.9540068014),300.0,3083.0,2691.0,2652.0,2608.0,2681.0,2748.0,2819.0,2514.0,2184.0,2926.0,5.0,165.0,435.0,20190120
부산 남구 수영로 196번길 80,35.1303143,129.0874926,POINT (507971.16734585183 3887498.082675121),300.0,1798.0,1887.0,2013.0,2025.0,2144.0,2148.0,2239.0,2829.0,2455.0,2512.0,5.0,105.0,555.0,20190120
부산 사상구 대동로 205,35.1458843,128.9836841,POINT (498513.79439757223 3889221.395502485),300.0,1764.0,2373.0,3018.0,3655.0,3979.0,4051.0,3972.0,4423.0,4203.0,4143.0,5.0,255.0,960.0,20190120
부산 북구 덕천2길 10,35.20825,129.0066182,POINT (500602.3876390696 3896137.6151377317),300.0,1710.0,1668.0,1897.0,1740.0,1832.0,1876.0,1966.0,3099.0,2531.0,2491.0,5.0,76.0,491.0,20190120
부산 금정구 청룡로 25,35.2752872,129.089844,POINT (508170.8625717864 3903575.7624749863),300.0,1323.0,1246.0,1178.0,1109.0,1086.0,1085.0,1069.0,1092.0,1091.0,1109.0,6.0,12.0,460.0,20190120
부산 사하구 장림로 161번길 2,35.083007,128.9669024,POINT (496982.8423385933 3882248.7892210693),300.0,1702.0,2066.0,2265.0,2373.0,2450.0,2553.0,2625.0,2713.0,2402.0,2790.0,5.0,140.0,600.0,20190120
부산광역시 강서구 체육공원로 43,35.209732,128.9738117,POINT (497616.38787982654 3896302.263003819),300.0,1679.0,1811.0,1951.0,2085.0,2297.0,2408.0,2504.0,2688.0,2461.0,2618.0,5.0,112.0,631.0,20190120
부산 강서구 녹산산단 382로 49번길 39,35.0866341,128.8638983,POINT (487593.5948835844 3882658.995610644),300.0,1624.0,1703.0,1956.0,2104.0,2212.0,2273.0,2374.0,2942.0,2578.0,2483.0,5.0,114.0,382.0,20190120
부산 동구 중앙대로349번길 14,35.1269851,129.0462454,POINT (504213.43964748835 3887126.3554161005),300.0,1944.0,2215.0,2286.0,2277.0,2222.0,2400.0,2332.0,2629.0,2344.0,2603.0,5.0,131.0,646.0,20190120
부산 연제구 중앙대로 1001,35.1800626,129.0745963,POINT (506792.0911102238 3893014.1667127283),300.0,1614.0,1500.0,1602.0,1656.0,1715.0,2043.0,1962.0,2014.0,1748.0,2012.0,5.0,67.0,396.0,20190120
부산 금정구 부곡로156번길 7,35.2298287,129.0927353,POINT (508438.52154108864 3898534.6168875108),300.0,1537.0,1521.0,1696.0,1537.0,1700.0,1629.0,1799.0,2235.0,1834.0,2171.0,5.0,57.0,530.0,20190120
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),300.0,1748.0,2105.0,2209.0,2330.0,2426.0,2519.0,2656.0,3098.0,2658.0,2870.0,5.0,135.0,613.0,20190120
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),300.0,1613.0,1625.0,1726.0,1801.0,1982.0,2055.0,2119.0,2351.0,2047.0,2282.0,5.0,79.0,578.0,20190120
부산 사하구 제석로 41,35.1053948,128.9729515,POINT (497534.9485885469 3884731.3834937653),300.0,1625.0,1587.0,1982.0,1680.0,1710.0,1735.0,1873.0,2907.0,2365.0,2677.0,5.0,70.0,632.0,20190120
부산 동구 충장대로 314,35.1227863,129.0568997,POINT (505184.4239748895 3886661.217524739),300.0,1615.0,1463.0,1545.0,1733.0,1829.0,1771.0,1997.0,2128.0,1898.0,2160.0,5.0,74.0,531.0,20190120
부산 강서구 신항남로 416,35.073104,128.833501,POINT (484820.2084407838 3881162.7429457037),300.0,1954.0,1837.0,1956.0,2235.0,2285.0,2309.0,2483.0,2562.0,2293.0,2564.0,6.0,128.0,460.0,20190120
