주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 서산시 대산읍 평신1로(독곶리) 한국수자원공사 대산산업용수센터,36.9875793,126.3916719,POINT (267861.1445898953 4096674.800324635),144.0,1570.0,1502.0,1777.0,1786.0,1921.0,2001.0,2213.0,3005.0,2644.0,2308.0,5.0,80.0,191.0,20230102
충청남도 서산시 중앙로 38-1,36.7801111,126.4554792,POINT (272926.9602270731 4073499.962721616),150.0,1996.0,3250.0,3269.0,3118.0,2933.0,2714.0,2955.0,2061.0,1760.0,2875.0,5.0,216.0,261.0,20230102
충청남도 서산시 대산읍 충의로 1942,36.9380354,126.433915,POINT (271473.29826763924 4091075.0020704586),144.0,1762.0,2466.0,2810.0,2353.0,2437.0,2369.0,2495.0,3446.0,2597.0,3332.0,5.0,137.0,268.0,20230102
충남 서산시 성연면 마루들길 15,36.83905,126.460844,POINT (273579.57085616444 4080027.135119684),150.0,1674.0,1728.0,1882.0,1959.0,1917.0,1992.0,1979.0,2237.0,2127.0,2077.0,5.0,101.0,79.0,20230102
충남 서산시 대산읍 대죽리 1114,37.0126847,126.4266258,POINT (271047.94763243676 4099375.8979847003),150.0,1926.0,2279.0,2858.0,3667.0,3412.0,4103.0,3875.0,4584.0,4122.0,4045.0,5.0,255.0,274.0,20230102
충남 서산시 성연면 마루들길 15,36.83905,126.460844,POINT (273579.57085616444 4080027.135119684),228.0,2437.0,2656.0,2503.0,2517.0,2650.0,2633.0,2623.0,2812.0,2471.0,2601.0,8.0,155.0,493.0,20230107
충청남도 서산시 대산읍 충의로 1942,36.9380354,126.433915,POINT (271473.29826763924 4091075.0020704586),222.0,2236.0,2529.0,2527.0,2359.0,2456.0,2591.0,2714.0,3442.0,2691.0,3240.0,7.0,139.0,493.0,20230107
충청남도 서산시 중앙로 38-1,36.7801111,126.4554792,POINT (272926.9602270731 4073499.962721616),234.0,1508.0,1876.0,1996.0,1805.0,1845.0,1984.0,2060.0,2119.0,1793.0,2471.0,5.0,82.0,463.0,20230107
충남 서산시 대산읍 평신1로(독곶리) 한국수자원공사 대산산업용수센터,36.9875793,126.3916719,POINT (267861.1445898953 4096674.800324635),222.0,2000.0,2148.0,2200.0,2272.0,2415.0,2454.0,2542.0,2860.0,2423.0,2636.0,8.0,130.0,493.0,20230107
충남 서산시 대산읍 대죽리 1114,37.0126847,126.4266258,POINT (271047.94763243676 4099375.8979847003),222.0,2485.0,2478.0,2607.0,2955.0,3087.0,3291.0,3369.0,3829.0,3476.0,3540.0,10.0,199.0,493.0,20230107
충남 서산시 성연면 마루들길 15,36.83905,126.460844,POINT (273579.57085616444 4080027.135119684),162.0,1731.0,1818.0,1908.0,1997.0,2069.0,2119.0,2046.0,2435.0,2246.0,2125.0,5.0,101.0,697.0,20230112
충청남도 서산시 중앙로 38-1,36.7801111,126.4554792,POINT (272926.9602270731 4073499.962721616),162.0,1527.0,1903.0,2185.0,1898.0,1973.0,2040.0,2129.0,2350.0,1910.0,2463.0,5.0,90.0,783.0,20230112
