주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
광주 동구 서남로 1,35.1458908,126.9230497,POINT (310797.75865170476 3891196.5905304034),,,,,,,,,,,,,,,20190103
광주광역시 광산구 우산동 1026-2,35.1577625,126.8100651,POINT (300532.626457934 3892734.2350041606),96.0,1888.0,1881.0,2119.0,2285.0,2715.0,3022.0,3238.0,3074.0,2594.0,3432.0,5.0,130.0,641.0,20190103
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),95.0,2124.0,2351.0,2601.0,2702.0,2956.0,3047.0,3061.0,3168.0,2983.0,3136.0,5.0,174.0,540.0,20190103
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),96.0,1977.0,1974.0,1882.0,1932.0,2037.0,2205.0,2610.0,3153.0,3119.0,3052.0,5.0,95.0,581.0,20190103
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20190103
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20190103
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),96.0,2518.0,2245.0,2489.0,2588.0,2410.0,2665.0,2471.0,2865.0,2499.0,2679.0,5.0,161.0,369.0,20190103
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),96.0,1043.0,1112.0,1244.0,1090.0,1059.0,1011.0,1013.0,1015.0,1028.0,1003.0,6.0,9.0,256.0,20190103
광주 북구 북문대로 79,35.1767683,126.8772214,POINT (306695.44474952196 3894709.8088276684),96.0,1381.0,1207.0,1254.0,1266.0,1310.0,1332.0,1379.0,1707.0,1437.0,1506.0,5.0,28.0,182.0,20190103
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),96.0,1834.0,1901.0,2075.0,2097.0,2357.0,2364.0,2399.0,2673.0,2237.0,2558.0,5.0,110.0,419.0,20190103
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20190103
