주소,Latitude,Longitude
부산 중구 광복로 55번길 10,35.1000045,129.0304011
부산 동구 중앙대로349번길 14,35.1269851,129.0462454
부산 영도구 전망로 24,35.0596604,129.0798817
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045
부산 동래구 명장로 32,35.2047638,129.1042668
부산 남구 수영로 196번길 80,35.1303143,129.0874926
부산 사상구 대동로 205,35.1458843,128.9836841
부산 북구 덕천2길 10,35.20825,129.0066182
부산 금정구 청룡로 25,35.2752872,129.089844
부산 해운대구 양운로 91,35.1709056,129.1742568
부산 사하구 장림로 161번길 2,35.083007,128.9669024
부산광역시 강서구 체육공원로 43,35.209732,128.9738117
부산 강서구 녹산산단 382로 49번길 39,35.0866341,128.8638983
부산 연제구 중앙대로 1001,35.1800626,129.0745963
부산 기장군 기장읍 읍내로 69,35.2459958,129.2121378
부산 기장군 정관읍 용수로 4,35.3256151,129.1801176
부산 동구 구청로 1,35.1292457,129.0454233
부산 금정구 부곡로156번길 7,35.2298287,129.0927353
부산 수영구 광안로21번가길 57,35.1570488,129.1181685
부산 서구 대신로 150,35.1173408,129.0157521
부산 사상구 삼덕로 83,35.1739233,128.9856419
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521
부산 사하구 제석로 41,35.1053948,128.9729515
부산 동구 충장대로 314,35.1227863,129.0568997
부산 강서구 신항남로 416,35.073104,128.833501
부산광역시 영도구 청학남로13번길 18,35.0907485,129.0594904
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178
부산광역시 해운대구 센텀동로 191,35.1827807,129.1202801
부산광역시 강서구 명지동 3513-3,35.1055728,128.9258618
부산광역시 금정구 금사로 217,35.2301064,129.1206659
부산광역시 강서구 신항남로 354,35.0802557,128.8268542
부산광역시 남구 이기대공원로 11,35.1258003,129.1164163
부산광역시 사상구 모덕로 2,35.1824537,128.976956
부산광역시 강서구 신항남로 416,35.073104,128.833501
부산광역시 동구 충장대로 314,35.1227863,129.0568997
부산광역시 해운대구 해운대해변로 84 (우동),35.160586,129.1399465
부산광역시 남구 북항로 105,35.1059456,129.0825838
